time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-30T13:34:24.220Z,33.7578333,-116.0498333,2.28,0.91,ml,21,154,0.1093,0.15,ci,ci37575631,2017-01-30T19:19:53.576Z,"14km NE of Coachella, CA",earthquake,0.27,0.36,0.116,10,reviewed,ci,ci
2017-01-30T13:31:31.280Z,39.7219,-120.633,9.4,0.1,ml,4,283.18,0.159,0.1443,nn,nn00576190,2017-01-30T14:51:34.220Z,"17km SW of Portola, California",earthquake,,6.7,0.47,3,reviewed,nn,nn
2017-01-30T13:15:45.400Z,-1.7996,98.9726,10,4.7,mb,,144,3.384,0.61,us,us10007w64,2017-01-30T14:31:50.040Z,"34km SW of Muara Siberut, Indonesia",earthquake,8,1.9,0.086,41,reviewed,us,us
2017-01-30T13:09:57.909Z,38.4366,-118.9014,6.6,1.2,ml,10,134.53,0.108,0.1227,nn,nn00576182,2017-01-30T17:16:54.759Z,"26km WSW of Hawthorne, Nevada",earthquake,,3,0.16,4,reviewed,nn,nn
2017-01-30T13:04:56.610Z,33.4201667,-116.6116667,8.51,0.26,ml,24,92,0.07476,0.15,ci,ci37575623,2017-01-30T19:24:36.048Z,"16km N of Warner Springs, CA",earthquake,0.26,0.54,0.115,4,reviewed,ci,ci
2017-01-30T12:26:35.290Z,48.6075,-123.0606667,12.4,1.66,ml,4,128,0.0692,0.09,uw,uw60132108,2017-01-30T17:02:44.830Z,"8km NNW of Friday Harbor, Washington",earthquake,0.52,1.33,0.119,5,reviewed,uw,uw
2017-01-30T12:26:31.220Z,48.5935,-123.0645,16.74,1.59,ml,6,84,0.05853,0.2,uw,uw61247626,2017-01-30T16:59:34.570Z,"7km NNW of Friday Harbor, Washington",earthquake,0.86,1.56,0.203,6,reviewed,uw,uw
2017-01-30T12:24:58.550Z,48.5973333,-123.0563333,15.38,1.25,ml,6,89,0.05887,0.21,uw,uw61247621,2017-01-30T16:56:23.340Z,"7km NNW of Friday Harbor, Washington",earthquake,0.77,1.44,0.27,3,reviewed,uw,uw
2017-01-30T12:23:55.318Z,64.6625,-146.8207,0,1.7,ml,,,,0.55,ak,ak15176847,2017-01-30T12:39:13.422Z,"11km E of Eielson Air Force Base, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-30T12:08:32.640Z,60.2616,-153.7809,184.1,2.9,ml,,,,0.68,ak,ak15176840,2017-01-30T12:17:24.956Z,"62km WSW of Redoubt Volcano, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-01-30T12:01:29.630Z,48.0038333,-121.8893333,15.16,1.29,ml,10,98,0.1056,0.13,uw,uw61247616,2017-01-30T18:10:16.280Z,"10km SSE of Granite Falls, Washington",earthquake,0.39,0.77,0.139,5,reviewed,uw,uw
2017-01-30T11:51:09.420Z,37.6295013,-118.887001,2.11,0.86,md,9,115,0.01679,0.01,nc,nc72757880,2017-01-30T12:06:02.107Z,"7km ESE of Mammoth Lakes, California",earthquake,0.41,0.62,0.22,7,automatic,nc,nc
2017-01-30T11:48:50.240Z,48.5988333,-123.057,14.35,1.15,ml,7,90,0.0604,0.15,uw,uw61247611,2017-01-30T18:02:59.160Z,"7km NNW of Friday Harbor, Washington",earthquake,0.44,0.95,0.062,3,reviewed,uw,uw
2017-01-30T11:47:01.506Z,38.4933,-118.3455,5.3,0.3,ml,4,157.75,0.058,0.0438,nn,nn00576180,2017-01-30T17:01:02.320Z,"24km E of Hawthorne, Nevada",earthquake,,9.6,0.09,2,reviewed,nn,nn
2017-01-30T11:46:47.260Z,-14.492,-72.8441,77.56,4.6,mb,,126,4.543,1.38,us,us10007w5x,2017-01-30T14:35:00.139Z,"82km W of Santo Tomas, Peru",earthquake,9.2,10.4,0.133,17,reviewed,us,us
2017-01-30T11:34:55.977Z,38.4053,-118.9161,9.8,1.2,ml,16,57.68,0.129,0.1795,nn,nn00576179,2017-01-30T16:51:43.263Z,"28km WSW of Hawthorne, Nevada",earthquake,,2.3,0.11,2,reviewed,nn,nn
2017-01-30T11:28:56.460Z,38.3871,-118.914,8.5,0.8,ml,6,175.02,0.34,0.0693,nn,nn00576178,2017-01-30T16:45:21.299Z,"29km WSW of Hawthorne, Nevada",earthquake,,37.4,0,1,reviewed,nn,nn
2017-01-30T11:26:01.710Z,38.8161659,-122.8203354,1.13,0.88,md,9,92,0.01004,0.02,nc,nc72757865,2017-01-30T11:43:02.050Z,"7km NW of The Geysers, California",earthquake,0.33,0.59,0.1,3,automatic,nc,nc
2017-01-30T11:21:38.719Z,38.314,-118.6193,5.8,0.1,ml,4,248.67,0.11,0.0242,nn,nn00576223,2017-01-30T19:14:12.638Z,"23km S of Hawthorne, Nevada",earthquake,,16.2,0.54,2,reviewed,nn,nn
2017-01-30T11:14:37.370Z,33.0303333,-116.0093333,4.7,0.86,ml,34,79,0.147,0.24,ci,ci37575615,2017-01-30T19:16:20.862Z,"17km SE of Ocotillo Wells, CA",earthquake,0.33,1.2,0.078,13,reviewed,ci,ci
2017-01-30T11:08:18.850Z,35.8781,-96.7335,6.57,2.5,mb_lg,,63,0.064,0.69,us,us10007w5t,2017-01-30T20:51:24.064Z,"12km SSE of Cushing, Oklahoma",earthquake,1.6,5.3,0.084,37,reviewed,us,us
2017-01-30T11:03:16.720Z,48.6111667,-123.0711667,14.59,3.09,ml,28,78,0.07578,0.3,uw,uw61247601,2017-01-30T21:09:01.344Z,"9km NNW of Friday Harbor, Washington",earthquake,0.43,0.89,0.222,22,reviewed,uw,uw
2017-01-30T10:46:48.850Z,48.6053333,-123.078,13.34,1.22,ml,9,85,0.07338,0.3,uw,uw61247591,2017-01-30T17:35:22.180Z,"9km NNW of Friday Harbor, Washington",earthquake,0.76,1.79,0.049,5,reviewed,uw,uw
2017-01-30T10:45:39.197Z,64.5486,-149.2447,14.8,1.4,ml,,,,0.3,ak,ak15176716,2017-01-30T10:56:47.023Z,"7km WSW of North Nenana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-01-30T10:37:34.039Z,38.3865,-118.9036,9.3,0.9,ml,14,66.93,0.129,0.1756,nn,nn00576177,2017-01-30T16:36:06.224Z,"28km WSW of Hawthorne, Nevada",earthquake,,2.7,0.17,3,reviewed,nn,nn
2017-01-30T10:34:25.353Z,39.9845,-117.9363,0.2,1.6,ml,9,108.25,0.689,0.1667,nn,nn00576176,2017-01-30T16:29:48.929Z,"50km ESE of Lovelock, Nevada",earthquake,,3.5,0.33,4,reviewed,nn,nn
2017-01-30T10:09:06.893Z,37.2832,-115.0491,2.5,0.4,ml,6,234.48,0.124,0.157,nn,nn00576228,2017-01-30T19:29:52.039Z,"13km SE of Alamo, Nevada",earthquake,,17,0.01,2,reviewed,nn,nn
2017-01-30T10:08:21.610Z,38.8300018,-122.7913361,1.71,1.66,md,25,60,0.008431,0.03,nc,nc72757855,2017-01-30T10:26:02.889Z,"5km W of Cobb, California",earthquake,0.21,0.29,0.08,8,automatic,nc,nc
2017-01-30T09:57:18.372Z,39.2284,-120.362,6.6,0.4,ml,5,135.33,0.128,0.1838,nn,nn00576187,2017-01-30T14:45:22.685Z,"18km SW of Truckee, California",earthquake,,5.5,0.6,3,reviewed,nn,nn
2017-01-30T09:56:29.800Z,18.0858,-65.019,11,3,Md,5,309.6,0.33237666,0.75,pr,pr17030000,2017-01-30T11:33:21.935Z,"29km SSW of Charlotte Amalie, U.S. Virgin Islands",earthquake,10,8.1,0,4,reviewed,pr,pr
2017-01-30T09:52:08.746Z,38.3621,-118.9059,7.7,0.7,ml,13,93.04,0.145,0.1731,nn,nn00576175,2017-01-30T16:23:27.625Z,"30km SW of Hawthorne, Nevada",earthquake,,5.9,0,1,reviewed,nn,nn
2017-01-30T09:46:07.168Z,60.1495,-152.4525,91.8,1.8,ml,,,,0.7,ak,ak15176713,2017-01-30T09:54:30.361Z,"40km SSE of Redoubt Volcano, Alaska",earthquake,,1,,,automatic,ak,ak
2017-01-30T09:45:34.275Z,39.3744,-120.146,9.5,0.3,ml,7,122.82,0.118,0.1126,nn,nn00576186,2017-01-30T14:39:06.816Z,"6km NNE of Truckee, California",earthquake,,2.3,0.33,4,reviewed,nn,nn
2017-01-30T09:44:39.620Z,32.815,-115.5718333,12.19,1.06,ml,15,107,0.08674,0.16,ci,ci37575607,2017-01-30T19:24:28.598Z,"3km NNW of El Centro, CA",earthquake,0.34,0.73,0.169,6,reviewed,ci,ci
2017-01-30T09:43:24.463Z,60.7462,-150.0996,33.8,1.6,ml,,,,0.2,ak,ak15176712,2017-01-30T09:50:43.742Z,"43km ENE of Sterling, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-01-30T09:36:56.170Z,33.4211667,-116.6156667,7.57,0.56,ml,26,91,0.0742,0.1,ci,ci37575599,2017-01-30T19:14:07.880Z,"16km N of Warner Springs, CA",earthquake,0.2,0.4,0.133,14,reviewed,ci,ci
2017-01-30T09:34:31.310Z,19.1818333,-155.5006714,36.03,2.02,md,23,94,0.04493,0.12,hv,hv61584946,2017-01-30T09:37:44.440Z,"3km SW of Pahala, Hawaii",earthquake,0.59,0.88,0.14,5,automatic,hv,hv
2017-01-30T09:12:44.780Z,37.1805,-89.7815,14.81,2.46,md,48,136,0.1529,0.1,nm,nm60173686,2017-01-30T20:55:32.959Z,"11km W of Chaffee, Missouri",earthquake,0.24,0.35,0.045,25,reviewed,nm,nm
2017-01-30T09:05:34.750Z,36.7552,-97.9786,2.29,2.8,mb_lg,,42,0.135,0.38,us,us10007w5f,2017-01-30T13:05:53.040Z,"22km WSW of Medford, Oklahoma",earthquake,1.1,7.8,0.067,58,reviewed,us,us
2017-01-30T09:01:38.500Z,34.2468333,-118.5038333,13.29,0.97,ml,13,142,0.1403,0.13,ci,ci37575591,2017-01-30T19:22:09.424Z,"3km S of Granada Hills, CA",earthquake,0.44,0.88,0.161,23,reviewed,ci,ci
2017-01-30T08:44:04.462Z,37.8869,-118.5393,0,1.1,ml,14,73.57,0.174,0.172,nn,nn00576174,2017-01-30T16:07:55.737Z,"46km NE of Mammoth Lakes, California",earthquake,,0,0.14,2,reviewed,nn,nn
2017-01-30T08:18:18.763Z,60.0408,-147.4217,21.2,1.9,ml,,,,0.7,ak,ak15176592,2017-01-30T08:26:29.954Z,"91km NW of Middleton Island, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-30T08:10:40.870Z,48.6011667,-123.062,14.42,1.38,ml,14,84,0.06407,0.21,uw,uw61247586,2017-01-30T17:40:07.470Z,"8km NNW of Friday Harbor, Washington",earthquake,0.38,0.84,0.059,7,reviewed,uw,uw
2017-01-30T08:06:00.240Z,38.3579,-118.9141,9.1,0.6,ml,9,123.43,0.313,0.1012,nn,nn00576173,2017-01-30T16:01:34.738Z,"29km ENE of Bridgeport, California",earthquake,,12.9,0,1,reviewed,nn,nn
2017-01-30T07:49:13.670Z,33.4713333,-116.4718333,15.08,0.44,ml,22,104,0.06467,0.15,ci,ci37575583,2017-01-30T19:29:06.492Z,"21km ESE of Anza, CA",earthquake,0.28,0.58,0.165,10,reviewed,ci,ci
2017-01-30T07:38:45.073Z,38.3988,-118.9292,7.5,1.3,ml,14,63.99,0.141,0.1376,nn,nn00576172,2017-01-30T14:35:50.331Z,"30km WSW of Hawthorne, Nevada",earthquake,,3.1,0.08,7,reviewed,nn,nn
2017-01-30T07:37:02.610Z,36.0238333,-117.8091667,1.8,0.18,ml,7,185,0.03562,0.05,ci,ci37575575,2017-01-30T18:47:33.415Z,"13km E of Coso Junction, CA",earthquake,0.19,0.18,0.358,5,reviewed,ci,ci
2017-01-30T07:33:59.420Z,38.8084984,-122.8379974,18.03,0.69,md,7,171,0.0069,0.07,nc,nc72757840,2017-01-30T07:49:01.571Z,"7km WNW of The Geysers, California",earthquake,3.55,6.19,,1,automatic,nc,nc
2017-01-30T07:16:44.531Z,62.0215,-151.0638,71.8,1.7,ml,,,,0.5,ak,ak15176587,2017-01-30T07:34:41.680Z,"60km WSW of Talkeetna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2017-01-30T07:06:45.627Z,38.4333,-118.8949,8.3,0.6,ml,8,213.44,0.104,0.1624,nn,nn00576170,2017-01-30T15:20:09.011Z,"25km WSW of Hawthorne, Nevada",earthquake,,2.4,0.25,3,reviewed,nn,nn
2017-01-30T07:00:37.693Z,38.4002,-118.9311,7.8,1,ml,12,56.88,0.142,0.1281,nn,nn00576196,2017-01-30T15:16:56.642Z,"30km WSW of Hawthorne, Nevada",earthquake,,3.4,0.17,4,reviewed,nn,nn
2017-01-30T06:55:40.340Z,38.8378334,-122.8268356,1.89,0.43,md,7,106,0.006798,0.02,nc,nc72757835,2017-01-30T07:11:02.501Z,"9km W of Cobb, California",earthquake,0.48,0.91,0.14,2,automatic,nc,nc
2017-01-30T06:15:54.366Z,39.3445,-119.9175,8.9,0.1,ml,6,117.44,0.106,0.1309,nn,nn00576195,2017-01-30T15:13:36.179Z,"11km NNE of Incline Village, Nevada",earthquake,,3.4,0.2,3,reviewed,nn,nn
2017-01-30T06:01:17.750Z,-5.4828,151.7385,54.13,5,mb,,50,1.351,0.79,us,us10007w4t,2017-01-30T06:40:46.040Z,"137km SSW of Kokopo, Papua New Guinea",earthquake,8.7,5.9,0.055,105,reviewed,us,us
2017-01-30T05:54:38.491Z,60.5046,-141.3284,0,2.3,ml,,,,0.8,ak,ak15176463,2017-01-30T06:06:00.562Z,"78km NE of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-30T05:34:21.840Z,36.8684,-97.4495,3.72,2.8,mb_lg,,28,0.146,0.39,us,us10007w4q,2017-01-30T07:26:05.648Z,"16km WNW of Blackwell, Oklahoma",earthquake,1.2,7,0.061,69,reviewed,us,us
2017-01-30T05:34:09.400Z,36.8657,-97.4428,2.94,2.6,mb_lg,,59,0.149,0.23,us,us10007w4n,2017-01-30T13:36:47.120Z,"15km WNW of Blackwell, Oklahoma",earthquake,1.2,3.9,0.084,37,reviewed,us,us
2017-01-30T05:23:02.381Z,36.8952,-115.9043,12,0.5,ml,23,70.06,0.073,0.1556,nn,nn00576168,2017-01-30T15:55:16.620Z,"76km N of Pahrump, Nevada",earthquake,,1.3,0.47,6,reviewed,nn,nn
2017-01-30T05:20:36.340Z,37.4363327,-121.7829971,9.18,1.33,md,10,151,0.01967,0.05,nc,nc72757830,2017-01-30T05:36:02.320Z,"6km NNE of East Foothills, California",earthquake,0.76,0.54,0.2,7,automatic,nc,nc
2017-01-30T05:01:42.620Z,60.4274,-151.8329,78.1,1.6,ml,,,,0.59,ak,ak15176459,2017-01-30T05:09:55.935Z,"29km W of Kalifornsky, Alaska",earthquake,,1.2,,,automatic,ak,ak
2017-01-30T04:57:28.758Z,36.6734,-116.4382,0,0.1,ml,14,190.61,0.189,0.1198,nn,nn00576167,2017-01-30T15:45:30.904Z,"38km SE of Beatty, Nevada",earthquake,,0,0.17,4,reviewed,nn,nn
2017-01-30T04:54:43.300Z,34.2313333,-116.8443333,9.22,1.02,ml,27,48,0.07044,0.18,ci,ci37575567,2017-01-30T19:16:57.016Z,"3km S of Big Bear City, CA",earthquake,0.29,0.67,0.18,25,reviewed,ci,ci
2017-01-30T04:09:35.302Z,65.455,-144.9598,0,1.6,ml,,,,0.88,ak,ak15176451,2017-01-30T04:22:46.790Z,"12km W of Circle Hot Springs Station, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-01-30T04:09:07.927Z,39.6379,-120.0089,10.3,0.7,ml,6,104.91,0.048,0.0747,nn,nn00576166,2017-01-30T15:10:24.322Z,"5km SSW of Cold Springs, Nevada",earthquake,,1.9,0.35,5,reviewed,nn,nn
2017-01-30T04:07:02.714Z,58.8492,-152.2237,58.7,2.1,ml,,,,0.55,ak,ak15176448,2017-01-30T04:19:00.125Z,"96km SSW of Homer, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-01-30T04:02:34.271Z,37.1442,-117.3845,13.5,0.1,ml,4,156.69,0.226,0.0982,nn,nn00576210,2017-01-30T17:32:30.779Z,"61km WNW of Beatty, Nevada",earthquake,,8.9,0.04,2,reviewed,nn,nn
2017-01-30T03:42:49.020Z,38.7891655,-122.7665024,0.89,0.56,md,7,107,0.01721,0.02,nc,nc72757815,2017-01-30T04:12:02.136Z,"1km NNW of The Geysers, California",earthquake,0.55,1.25,0.08,3,automatic,nc,nc
2017-01-30T03:25:33.850Z,38.4799995,-122.5650024,7.64,2.2,md,32,84,0.1189,0.15,nc,nc72757805,2017-01-30T03:48:30.458Z,"7km NNW of Kenwood, California",earthquake,0.28,1.05,0.14,25,automatic,nc,nc
2017-01-30T03:23:26.516Z,38.4128,-118.9094,8.4,0.6,ml,8,218.96,0.121,0.1844,nn,nn00576192,2017-01-30T15:07:14.088Z,"27km WSW of Hawthorne, Nevada",earthquake,,2.1,0.59,5,reviewed,nn,nn
2017-01-30T03:00:33.660Z,34.0358333,-117.2691667,15.34,1.02,ml,38,74,0.07899,0.14,ci,ci37575543,2017-01-30T19:27:21.596Z,"2km SSW of Loma Linda, CA",earthquake,0.18,0.33,0.078,21,reviewed,ci,ci
2017-01-30T02:50:00.240Z,33.7205,-116.834,11.48,0.84,ml,25,62,0.08196,0.26,ci,ci37575535,2017-01-30T19:28:01.516Z,"6km ESE of Valle Vista, CA",earthquake,0.52,0.95,0.217,25,reviewed,ci,ci
