time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-24T03:47:09.700Z,-6.0735,148.9399,76.19,4.9,mb,,86,3.715,0.8,us,us10007v4b,2017-01-24T04:06:39.040Z,"69km WNW of Kandrian, Papua New Guinea",earthquake,6.3,9.3,0.187,9,reviewed,us,us
2017-01-24T03:38:08.800Z,17.906,-67.8507,117,3.2,Md,6,324,0.71236402,0.4,pr,pr17024001,2017-01-24T07:48:26.085Z,"70km W of Pole Ojea, Puerto Rico",earthquake,5.1,3.7,0,3,reviewed,pr,pr
2017-01-24T03:13:45.390Z,33.8278333,-116.9898333,12.82,0.96,ml,37,45,0.02692,0.15,ci,ci37572807,2017-01-24T14:42:51.269Z,"6km NNW of San Jacinto, CA",earthquake,0.19,0.41,0.079,18,reviewed,ci,ci
2017-01-24T02:38:40.660Z,-55.1143,-31.3578,34.09,5,mb,,70,9.069,0.84,us,us10007v3u,2017-01-24T03:13:25.040Z,"South Georgia Island region",earthquake,12.3,4.8,0.068,69,reviewed,us,us
2017-01-24T02:02:25.968Z,69.0642,-145.1555,3.5,3.7,ml,,,,0.64,ak,ak15140720,2017-01-24T02:27:03.575Z,"105km N of Arctic Village, Alaska",earthquake,,1.6,,,reviewed,ak,ak
2017-01-24T01:48:36.140Z,36.0251667,-117.8058333,0.85,0.9,ml,6,95,0.03289,0.03,ci,ci37388845,2017-01-24T03:05:00.264Z,"13km E of Coso Junction, CA",earthquake,0.12,0.34,0.08,3,reviewed,ci,ci
2017-01-24T01:48:25.200Z,36.025,-117.8058333,1.03,1.1,ml,17,81,0.03289,0.1,ci,ci37572799,2017-01-24T02:56:52.429Z,"13km E of Coso Junction, CA",earthquake,0.14,0.18,0.204,13,reviewed,ci,ci
2017-01-24T01:47:59.060Z,35.7516,-98.4893,5,2.4,ml,,118,0.193,0.63,us,us10007v3m,2017-01-24T05:42:09.467Z,"12km SSW of Watonga, Oklahoma",earthquake,0.7,1.8,0.071,26,reviewed,us,us
2017-01-24T01:39:49.130Z,38.8128319,-122.8125,2.6,0.88,md,11,116,0.01362,0.03,nc,nc72755625,2017-01-24T01:41:25.896Z,"6km NW of The Geysers, California",earthquake,0.35,0.71,0.05,5,automatic,nc,nc
2017-01-24T01:18:15.220Z,38.8223343,-122.7906647,3.31,0.55,md,8,76,0.01195,0.02,nc,nc72755620,2017-01-24T01:19:55.831Z,"5km W of Cobb, California",earthquake,1.21,2.72,,1,automatic,nc,nc
2017-01-24T01:16:02.590Z,33.8866667,-116.8766667,13.28,2.47,ml,106,26,0.0816,0.17,ci,ci37572791,2017-01-24T02:39:39.840Z,"4km S of Banning, CA",earthquake,0.11,0.3,0.162,160,reviewed,ci,ci
2017-01-24T00:52:44.210Z,-7.3343,130.4937,57.12,4.6,mb,,98,1.025,1.23,us,us10007v3g,2017-01-24T01:08:57.040Z,"113km NW of Saumlaki, Indonesia",earthquake,6,8.4,0.117,22,reviewed,us,us
2017-01-24T00:51:06.714Z,63.3371,-148.3867,4,1.2,ml,,,,0.27,ak,ak15139944,2017-01-24T00:57:08.322Z,"28km ESE of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-01-24T00:49:48.810Z,38.8045006,-122.7883301,11.52,0.95,md,11,146,0.006455,0.1,nc,nc72755600,2017-01-24T01:43:02.928Z,"4km NW of The Geysers, California",earthquake,0.97,1.42,0.18,4,automatic,nc,nc
2017-01-24T00:41:56.458Z,36.7175,-116.1536,0.1,0.1,ml,8,102.24,0.02,0.1286,nn,nn00575276,2017-01-24T01:02:30.867Z,"58km NNW of Pahrump, Nevada",earthquake,,4,0.47,4,reviewed,nn,nn
2017-01-24T00:15:58.598Z,37.1403,-116.0193,5.8,1.3,ml,24,80.18,0.023,0.1603,nn,nn00575268,2017-01-24T00:50:00.668Z,"70km ENE of Beatty, Nevada",earthquake,,0.8,0.45,10,reviewed,nn,nn
2017-01-24T00:10:03.397Z,64.9704,-147.2299,0,1.4,ml,,,,0.83,ak,ak15139939,2017-01-24T00:17:10.371Z,"23km NE of Badger, Alaska",earthquake,,25.6,,,automatic,ak,ak
2017-01-23T23:48:22.993Z,36.6798,-117.2032,10.6,1.6,ml,26,103.22,0.071,0.193,nn,nn00575261,2017-01-24T00:00:41.498Z,"47km WSW of Beatty, Nevada",earthquake,,1.1,0.29,10,reviewed,nn,nn
2017-01-23T23:48:16.330Z,36.5891685,-121.1396637,7.27,1.62,md,8,104,0.08127,0.04,nc,nc72755595,2017-01-24T00:36:02.725Z,"24km NE of Soledad, California",earthquake,0.45,1.42,0.03,6,automatic,nc,nc
2017-01-23T23:34:25.230Z,36.5428333,-89.6795,8.35,1.01,md,12,69,0.01535,0.02,nm,nm60172831,2017-01-24T14:50:16.740Z,"7km SW of Lilbourn, Missouri",earthquake,0.44,0.51,0.076,7,reviewed,nm,nm
2017-01-23T23:31:23.690Z,38.8208351,-122.8093338,2.7,1.43,md,20,74,0.01689,0.02,nc,nc72755585,2017-01-24T00:13:02.744Z,"6km NW of The Geysers, California",earthquake,0.27,0.53,0.16,6,automatic,nc,nc
